Date,Symbol,Price,Volume
2017-05-03,MSFT,67.985960459127,28725646.0
2017-05-02,MSFT,68.202476256767,23000828.0
2017-05-01,MSFT,68.310734155587,31304672.0
2017-04-28,MSFT,67.375779574867,38940853.0
2017-04-27,MSFT,67.188788658723,32219234.0
2017-04-26,MSFT,66.755757063442,25544417.0
2017-04-25,MSFT,66.844331707931,29983174.0
2017-04-24,MSFT,66.460508248477,29721254.0
2017-04-21,MSFT,65.348404378778,32522645.0
2017-04-20,MSFT,64.462657933885,22299477.0
2017-04-19,MSFT,64.009943084273,26992771.0
2017-04-18,MSFT,64.354400035065,15155611.0
2017-04-17,MSFT,64.442974679554,16689265.0
2017-04-13,MSFT,63.921368439784,17896483.0
2017-04-12,MSFT,64.196934000417,17108513.0
2017-04-11,MSFT,64.442974679554,18791533.0
2017-04-10,MSFT,64.492182815382,17952742.0
2017-04-07,MSFT,64.639807222864,14089274.0
2017-04-06,MSFT,64.689015358691,18103453.0
2017-04-05,MSFT,64.521707696878,21448594.0
2017-04-04,MSFT,64.689015358691,12997449.0
2017-04-03,MSFT,64.511866069713,20400871.0
2017-03-31,MSFT,64.816956511842,21040331.0
2017-03-30,MSFT,64.66933210436,15122823.0
2017-03-29,MSFT,64.433133052389,13618424.0
2017-03-28,MSFT,64.25598376341,20080358.0
2017-03-27,MSFT,64.068992847266,18614662.0
2017-03-24,MSFT,63.95089332128,22617105.0
2017-03-23,MSFT,63.84263542246,19269203.0
2017-03-22,MSFT,64.000101457108,20680015.0
2017-03-21,MSFT,63.193088029538,26640480.0
2017-03-20,MSFT,63.901685185453,14598083.0
2017-03-17,MSFT,63.84263542246,49219686.0
2017-03-16,MSFT,63.616277997654,20674296.0
2017-03-15,MSFT,63.724535896474,24833810.0
2017-03-14,MSFT,63.389920572848,14280202.0
2017-03-13,MSFT,63.685169387812,20100035.0
2017-03-10,MSFT,63.901685185453,19538245.0
2017-03-09,MSFT,63.704852642143,19846832.0
2017-03-08,MSFT,63.960734948446,21510907.0
2017-03-07,MSFT,63.380078945682,18520987.0
2017-03-06,MSFT,63.252137792531,18750255.0
2017-03-03,MSFT,63.2324545382,18139405.0
2017-03-02,MSFT,62.996255486229,24539597.0
2017-03-01,MSFT,63.911526812618,26937459.0
2017-02-28,MSFT,62.966730604732,23239825.0
2017-02-27,MSFT,63.212771283869,15871507.0
2017-02-24,MSFT,63.596594743323,21796800.0
2017-02-23,MSFT,63.596594743323,20273128.0
2017-02-22,MSFT,63.340712437021,19292651.0
2017-02-21,MSFT,63.468653590172,20655869.0
2017-02-17,MSFT,63.596594743323,21248818.0
