State,Code,Name,Type,Visitors
NM,GICL,Gila Cliff Dwellings National Monument,National Monument,2195383.0
NM,PECO,Pecos National Historical Park,National Historical Park,2168202.0
MD,HAMP,Hampton National Historic Site,National Historic Site,2162383.0
NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,2148109.0
DC,FRDO,Frederick Douglass National Historic Site,National Historic Site,2100875.0
ID,CIRO,City of Rocks National Reserve,National Reserve,2079402.0
CO,BEOL,Bent's Old Fort National Historic Site,National Historic Site,2063448.0
MO,HSTR,Harry S Truman National Historic Site,National Historic Site,2040847.0
FL,DRTO,Dry Tortugas National Park,National Park,2004566.0
NY,ELRO,Eleanor Roosevelt National Historic Site,National Historic Site,1926003.0
NM,SAPU,Salinas Pueblo Missions National Monument,National Monument,1887492.0
SD,MNRR,Missouri National Recreation River,National Recreation River,1886564.0
GA,CUIS,Cumberland Island National Seashore,National Seashore,1846435.0
KS,FOSC,Fort Scott National Historic Site,National Historic Site,1804630.0
KS,FOLS,Fort Larned National Historic Site,National Historic Site,1796546.0
RI,ROWI,Roger Williams National Memorial,National Memorial,1644547.0
GA,JICA,Jimmy Carter National Historic Site,National Historic Site,1615203.0
AK,WRST,Wrangell-St. Elias National Park,National Park,1607332.0
AK,WRST,Wrangell-St. Elias National Preserve,National Preserve,1607332.0
AK,KATM,Katmai National Park,National Park,1580146.0
AK,KATM,Katmai National Preserve,National Preserve,1580146.0
NH,SAGA,Saint-Gaudens National Historic Site,National Historic Site,1452253.0
CA,JOMU,John Muir National Historic Site,National Historic Site,1445658.0
SC,NISI,Ninety Six National Historic Site,National Historic Site,1412920.0
MA,SAIR,Saugus Iron Works National Historic Site,National Historic Site,1372599.0
AL,RUCA,Russell Cave National Monument,National Monument,1322056.0
HI,KALA,Kalaupapa National Historical Park,National Historical Park,1310804.0
VA,BOWA,Booker T. Washington National Monument,National Monument,1275899.0
CA,MANZ,Manzanar National Historic Site,National Historic Site,1275195.0
UT,HOVE,Hovenweep National Monument,National Monument,1178947.0
WV,BLUE,Bluestone National Scenic River,National Scenic River,1176026.0
OH,DAAV,Dayton Aviation Heritage National Historical Park,National Historical Park,1172176.0
MI,ISRO,Isle Royale National Park,National Park,1071614.0
WA,LACH,Lake Chelan National Recreation Area,National Recreation Area,1046956.0
AR,CHSC,Little Rock Central High School National Historic Site,National Historic Site,1000434.0
MA,LONG,Longfellow House-Washington's Headquarters National Historic Site,National Historic Site,978343.0
NY,THRI,Theodore Roosevelt Inaugural National Historic Site,National Historic Site,933526.0
MT,GRKO,Grant-Kohrs Ranch National Historic Site,National Historic Site,878576.0
NE,NIOB,Niobrara National Scenic River,National Scenic River,860533.0
MA,JOFI,John Fitzgerald Kennedy National Historic Site,National Historic Site,859421.0
NY,WORI,Women's Rights National Historical Park,National Historical Park,850934.0
PA,FRHI,Friendship Hill National Historic Site,National Historic Site,836325.0
NM,FOUN,Fort Union National Monument,National Monument,836310.0
SC,CHPI,Charles Pinckney National Historic Site,National Historic Site,812305.0
WY,FOBU,Fossil Butte National Monument,National Monument,791967.0
MN,MISS,Mississippi National River and Recreation Area,National River and Recreation Area,776458.0
ND,FOUS,Fort Union Trading Post National Historic Site,National Historic Site,767988.0
NY,THRB,Theodore Roosevelt Birthplace National Historic Site,National Historic Site,740398.0
NY,HAGR,Hamilton Grange National Memorial,National Memorial,734123.0
ND,KNRI,Knife River Indian Villages National Historic Site,National Historic Site,709315.0
MA,SPAR,Springfield Armory National Historic Site,National Historic Site,708837.0
MD,MONO,Monocacy National Battlefield,National Battlefield,676477.0
SD,MIMI,Minuteman Missile National Historic Site,National Historic Site,671529.0
MO,ULSG,Ulysses S. Grant National Historic Site,National Historic Site,658952.0
VT,MABI,Marsh-Billings-Rockefeller National Historical Park,National Historical Park,642588.0
NE,AGFO,Agate Fossil Beds National Monument,National Monument,621551.0
MD,CLBA,Clara Barton National Historic Site,National Historic Site,607242.0
NY,AFBG,African Burial Ground National Monument,National Monument,554291.0
NY,MAVA,Martin Van Buren National Historic Site,National Historic Site,550614.0
MI,RIRA,River Raisin National Battlefield Park,National Battlefield Park,511111.0
PA,EDAL,Edgar Allan Poe National Historic Site,National Historic Site,488638.0
TX,PAAL,Palo Alto Battlefield National Historical Park,National Historical Park,467349.0
OH,JAGA,James A. Garfield National Historic Site,National Historic Site,448173.0
OH,WIHO,William Howard Taft National Historic Site,National Historic Site,436655.0
ID,HAFO,Hagerman Fossil Beds National Monument,National Monument,433428.0
CT,WEFA,Weir Farm National Historic Site,National Historic Site,427394.0
KS,TAPR,Tallgrass Prairie National Preserve,National Preserve,388767.0
LA,CARI,Cane River Creole National Historical Park,National Historical Park,367437.0
AL,TUAI,Tuskegee Airmen National Historic Site,National Historic Site,365883.0
AK,LACL,Lake Clark National Park,National Park,363894.0
AK,LACL,Lake Clark National Preserve,National Preserve,363894.0
AZ,FOBO,Fort Bowie National Historic Site,National Historic Site,348811.0
NY,SAPA,Saint Paul's Church National Historic Site,National Historic Site,297945.0
KS,NICO,Nicodemus National Historic Site,National Historic Site,296433.0
KS,BRVB,Brown v. Board of Education National Historic Site,National Historic Site,270456.0
VA,MAWA,Maggie L. Walker National Historic Site,National Historic Site,262589.0
AK,GAAR,Gates of the Arctic National Park,National Park,225813.0
AK,GAAR,Gates of the Arctic National Preserve,National Preserve,225813.0
AK,NOAT,Noatak National Preserve,National Preserve,219938.0
DC,MABE,Mary McLeod Bethune Council House National Historic Site,National Historic Site,202237.0
PA,THKO,Thaddeus Kosciuszko National Memorial,National Memorial,199577.0
CA,RORI,Rosie the Riveter/World War II Home Front National Historical Park,National Historical Park,197850.0
AK,CAKR,Cape Krusenstern National Monument,National Monument,195519.0
OK,WABA,Washita Battlefield National Historic Site,National Historic Site,194488.0
MA,FRLA,Frederick Law Olmsted National Historic Site,National Historic Site,187202.0
NJ,PAGR,Paterson Great Falls National Historical Park,National Historical Park,177498.0
AK,KOVA,Kobuk Valley National Park,National Park,156655.0
TX,ALFL,Alibates Flint Quarries National Monument,National Monument,136070.0
MD,THST,Thomas Stone National Historic Site,National Historic Site,132139.0
AK,YUCH,Yukon-Charley Rivers National Preserve,National Preserve,122320.0
OH,FILA,First Ladies National Historic Site,National Historic Site,120928.0
AS,NPSA,National Park of American Samoa,National Park,113694.0
NM,MAPR,Manhattan Project National Historical Park,National Historical Park,104715.0
CA,EUON,Eugene O'Neill National Historic Site,National Historic Site,103878.0
TX,WACO,Waco Mammoth National Monument,National Monument,90061.0
MS,BRCR,Brices Cross Roads National Battlefield Site,National Battlefield Site,88266.0
AR,WICL,President William Jefferson Clinton Birthplace Home National Historic Site,National Historic Site,60563.0
MS,TUPE,Tupelo National Battlefield,National Battlefield,57031.0
VI,SARI,Salt River Bay National Historical Park and Ecological Preserve,National Historical Park,51085.0
ME,SACR,Saint Croix Island International Historic Site,International Historic Site,48711.0
