State,Code,Name,Type,Visitors
VA,RICH,Richmond National Battlefield Park,National Battlefield Park,300170.0
ID,CRMO,Craters of the Moon National Monument,National Monument,294387.0
TX,LYJO,Lyndon B. Johnson National Historical Park,National Historical Park,290524.0
UT,CARE,Capitol Reef National Park,National Park,289486.0
GA,FOPU,Fort Pulaski National Monument,National Monument,278463.0
MD,GREE,Greenbelt Park,Other Designation,277869.0
NY,HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,268269.0
WY,DETO,Devils Tower National Monument,National Monument,264303.0
MS,SHIL,Shiloh National Battlefield,National Battlefield,260177.0
IA,HEHO,Herbert Hoover National Historic Site,National Historic Site,254334.0
FL,FOMA,Fort Matanzas National Monument,National Monument,247694.0
VA,APCO,Appomattox Court House National Historical Park,National Historical Park,240405.0
GA,FOFR,Fort Frederica National Monument,National Monument,233710.0
TN,FODO,Fort Donelson National Battlefield,National Battlefield,233631.0
CO,BLCA,Black Canyon of the Gunnison National Park,National Park,227428.0
SC,FOSU,Fort Sumter National Monument,National Monument,220144.0
NC,GUCO,Guilford Courthouse National Military Park,National Military Park,219540.0
SC,KIMO,Kings Mountain National Military Park,National Military Park,213630.0
NM,BAND,Bandelier National Monument,National Monument,210850.0
IN,LIBO,Lincoln Boyhood National Memorial,National Memorial,207898.0
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument,205585.0
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site,201353.0
FL,DESO,De Soto National Memorial,National Memorial,197272.0
WA,NEPE,Nez Perce National Historical Park,National Historical Park,187747.0
AZ,WUPA,Wupatki National Monument,National Monument,183666.0
TX,BIBE,Big Bend National Park,National Park,180144.0
CO,GRSA,Great Sand Dunes National Park,National Park,175273.0
CO,GRSA,Great Sand Dunes National Preserve,National Preserve,175273.0
CA,CHIS,Channel Islands National Park,National Park,172287.0
UT,RABR,Rainbow Bridge National Monument,National Monument,172126.0
CA,PINN,Pinnacles National Park,National Park,171026.0
NE,SCBL,Scotts Bluff National Monument,National Monument,170175.0
AZ,HUTR,Hubbell Trading Post National Historic Site,National Historic Site,161461.0
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument,151934.0
FL,FOCA,Fort Caroline National Memorial,National Memorial,151607.0
PA,HOFU,Hopewell Furnace National Historic Site,National Historic Site,150975.0
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park,149368.0
PA,EISE,Eisenhower National Historic Site,National Historic Site,148800.0
NY,SAHI,Sagamore Hill National Historic Site,National Historic Site,144023.0
MN,VOYA,Voyageurs National Park,National Park,143724.0
TN,STRI,Stones River National Battlefield,National Battlefield,140772.0
TX,GUMO,Guadalupe Mountains National Park,National Park,140620.0
PA,FONE,Fort Necessity National Battlefield,National Battlefield,139511.0
OH,PEVI,Perry's Victory and International Peace Memorial,National Memorial,138841.0
MN,PIPE,Pipestone National Monument,National Monument,134782.0
VA,GEWA,George Washington Birthplace National Monument,National Monument,131001.0
AR,FOSM,Fort Smith National Historic Site,National Historic Site,129012.0
WI,APIS,Apostle Islands National Lakeshore,National Lakeshore,125756.0
NY,SARA,Saratoga National Historical Park,National Historical Park,121867.0
MD,PISC,Piscataway Park,Other Designation,118545.0
OR,ORCA,Oregon Caves National Monument and Preserve,National Monument,115045.0
TX,CHAM,Chamizal National Memorial,National Memorial,114800.0
WA,SAJH,San Juan Island National Historical Park,National Historical Park,113385.0
NY,FEHA,Federal Hall National Memorial,National Memorial,112387.0
IN,GERO,George Rogers Clark National Historical Park,National Historical Park,107725.0
PA,UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River,106502.0
OR,JODA,John Day Fossil Beds National Monument,National Monument,106123.0
AR,PERI,Pea Ridge National Military Park,National Military Park,105296.0
AZ,CAGR,Casa Grande Ruins National Monument,National Monument,105190.0
UT,TICA,Timpanogos Cave National Monument,National Monument,104630.0
GA,ANDE,Andersonville National Historic Site,National Historic Site,104053.0
VI,CHRI,Christiansted National Historic Site,National Historic Site,99531.0
WA,WHMI,Whitman Mission National Historic Site,National Historic Site,97811.0
UT,CANY,Canyonlands National Park,National Park,97079.0
NY,CACL,Castle Clinton National Monument,National Monument,95894.0
WY,FOLA,Fort Laramie National Historic Site,National Historic Site,94936.0
IA,EFMO,Effigy Mounds National Monument,National Monument,94305.0
AK,GLBA,Glacier Bay National Park,National Park,90354.0
AK,GLBA,Glacier Bay National Preserve,National Preserve,90354.0
SD,JECA,Jewel Cave National Monument,National Monument,87417.0
AK,SITK,Sitka National Historical Park,National Historical Park,87316.0
AZ,WACA,Walnut Canyon National Monument,National Monument,86517.0
AL,TUIN,Tuskegee Institute National Historic Site,National Historic Site,82990.0
GA,OCMU,Ocmulgee National Monument,National Monument,80904.0
MD,HAMP,Hampton National Historic Site,National Historic Site,80111.0
CA,DEPO,Devils Postpile National Monument,National Monument,79999.0
AZ,TUZI,Tuzigoot National Monument,National Monument,79566.0
MO,WICR,Wilson's Creek National Battlefield,National Battlefield,78374.0
CA,LABE,Lava Beds National Monument,National Monument,77705.0
TN,ANJO,Andrew Johnson National Historic Site,National Historic Site,77578.0
TX,FODA,Fort Davis National Historic Site,National Historic Site,74988.0
NM,CHCU,Chaco Culture National Historical Park,National Historical Park,72874.0
AZ,TONT,Tonto National Monument,National Monument,68844.0
MO,GWCA,George Washington Carver National Monument,National Monument,68553.0
NY,FOST,Fort Stanwix National Monument,National Monument,66595.0
KS,FOSC,Fort Scott National Historic Site,National Historic Site,63725.0
NC,CALO,Cape Lookout National Seashore,National Seashore,62653.0
NM,AZRU,Aztec Ruins National Monument,National Monument,60878.0
PA,ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site,60069.0
DC,THIS,Theodore Roosevelt Island,National Memorial,58630.0
AR,ARPO,Arkansas Post National Memorial,National Memorial,58349.0
AZ,TUMA,Tumacacori National Historical Park,National Historical Park,58290.0
AL,HOBE,Horseshoe Bend National Military Park,National Military Park,57539.0
UT,NABR,Natural Bridges National Monument,National Monument,55209.0
AZ,CHIR,Chiricahua National Monument,National Monument,55058.0
SC,COWP,Cowpens National Battlefield,National Battlefield,52502.0
NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,50216.0
NC,MOCR,Moores Creek National Battlefield,National Battlefield,50192.0
VI,BUIS,Buck Island Reef National Monument,National Monument,49915.0
AK,KLGO,Klondike Gold Rush National Historical Park,National Historical Park,49688.0
CO,FLFO,Florissant Fossil Beds National Monument,National Monument,49577.0
UT,GOSP,Golden Spike National Historic Site,National Historic Site,45163.0
NM,CAVO,Capulin Volcano National Monument,National Monument,44824.0
CO,BEOL,Bent's Old Fort National Historic Site,National Historic Site,44318.0
PA,JOFL,Johnstown Flood National Memorial,National Memorial,44183.0
NJ,EDIS,Thomas Edison National Historical Park,National Historic Site,43927.0
TX,BITH,Big Thicket National Preserve,National Preserve,43824.0
NY,GEGR,General Grant National Memorial,National Memorial,43620.0
OH,HOCU,Hopewell Culture National Historical Park,National Historical Park,43606.0
AZ,CORO,Coronado National Memorial,National Memorial,43330.0
MT,BIHO,Big Hole National Battlefield,National Battlefield,41128.0
AZ,NAVA,Navajo National Monument,National Monument,38927.0
NM,PECO,Pecos National Historical Park,National Historical Park,38926.0
GA,CUIS,Cumberland Island National Seashore,National Seashore,38450.0
NH,SAGA,Saint-Gaudens National Historic Site,National Historic Site,38002.0
NM,GICL,Gila Cliff Dwellings National Monument,National Monument,37902.0
MA,SAIR,Saugus Iron Works National Historic Site,National Historic Site,37581.0
MI,GRPO,Grand Portage National Monument,National Monument,36068.0
HI,PUHE,Pu'ukohola Heiau National Historic Site,National Historic Site,33706.0
CA,JOMU,John Muir National Historic Site,National Historic Site,33015.0
NM,SAPU,Salinas Pueblo Missions National Monument,National Monument,32491.0
NV,GRBA,Great Basin National Park,National Park,32264.0
DC,FRDO,Frederick Douglass National Historic Site,National Historic Site,30943.0
AZ,PISP,Pipe Spring National Monument,National Monument,30155.0
NM,ELMO,El Morro National Monument,National Monument,29933.0
MT,GRKO,Grant-Kohrs Ranch National Historic Site,National Historic Site,27790.0
MA,ADAM,Adams National Historical Park,National Historical Park,25440.0
KS,FOLS,Fort Larned National Historic Site,National Historic Site,24419.0
AL,RUCA,Russell Cave National Monument,National Monument,21780.0
VA,BOWA,Booker T. Washington National Monument,National Monument,20461.0
NE,HOME,Homestead National Monument of America,National Monument,18971.0
MA,SPAR,Springfield Armory National Historic Site,National Historic Site,18134.0
MA,LONG,Longfellow House-Washington's Headquarters National Historic Site,National Historic Site,17665.0
WY,FOBU,Fossil Butte National Monument,National Monument,17393.0
MA,JOFI,John Fitzgerald Kennedy National Historic Site,National Historic Site,16829.0
AK,KEFJ,Kenai Fjords National Park,National Park,16118.0
NY,THRI,Theodore Roosevelt Inaugural National Historic Site,National Historic Site,14975.0
AK,WRST,Wrangell-St. Elias National Park,National Park,14871.0
AK,WRST,Wrangell-St. Elias National Preserve,National Preserve,14871.0
AK,KATM,Katmai National Park,National Park,14377.0
AK,KATM,Katmai National Preserve,National Preserve,14377.0
RI,ROWI,Roger Williams National Memorial,National Memorial,14353.0
UT,HOVE,Hovenweep National Monument,National Monument,13532.0
MI,ISRO,Isle Royale National Park,National Park,13238.0
MD,CLBA,Clara Barton National Historic Site,National Historic Site,12875.0
PA,EDAL,Edgar Allan Poe National Historic Site,National Historic Site,12595.0
NY,THRB,Theodore Roosevelt Birthplace National Historic Site,National Historic Site,12563.0
NM,FOUN,Fort Union National Monument,National Monument,12176.0
FL,DRTO,Dry Tortugas National Park,National Park,10700.0
NY,MAVA,Martin Van Buren National Historic Site,National Historic Site,10538.0
AK,LACL,Lake Clark National Park,National Park,10440.0
AK,LACL,Lake Clark National Preserve,National Preserve,10440.0
AK,CAKR,Cape Krusenstern National Monument,National Monument,10205.0
NE,AGFO,Agate Fossil Beds National Monument,National Monument,9018.0
PA,THKO,Thaddeus Kosciuszko National Memorial,National Memorial,7693.0
ND,FOUS,Fort Union Trading Post National Historic Site,National Historic Site,7381.0
AZ,FOBO,Fort Bowie National Historic Site,National Historic Site,5055.0
ND,KNRI,Knife River Indian Villages National Historic Site,National Historic Site,4858.0
AK,NOAT,Noatak National Preserve,National Preserve,4170.0
AK,KOVA,Kobuk Valley National Park,National Park,3775.0
OH,WIHO,William Howard Taft National Historic Site,National Historic Site,3184.0
MA,FRLA,Frederick Law Olmsted National Historic Site,National Historic Site,2911.0
TX,ALFL,Alibates Flint Quarries National Monument,National Monument,2398.0
MS,BRCR,Brices Cross Roads National Battlefield Site,National Battlefield Site,1797.0
AK,GAAR,Gates of the Arctic National Park,National Park,1381.0
AK,GAAR,Gates of the Arctic National Preserve,National Preserve,1381.0
AK,YUCH,Yukon-Charley Rivers National Preserve,National Preserve,697.0
MS,TUPE,Tupelo National Battlefield,National Battlefield,536.0
NY,HAGR,Hamilton Grange National Memorial,National Memorial,0.0
CA,GOGA,Golden Gate National Recreation Area,National Recreation Area,20279789.0
NC,BLRI,Blue Ridge Parkway,Parkway,13625753.0
MS,NATR,Natchez Trace Parkway,Parkway,11160608.0
NY,GATE,Gateway National Recreation Area,National Recreation Area,9376479.0
VA,COLO,Colonial National Historical Park,National Historical Park,8558803.0
VA,GWMP,George Washington Memorial Parkway,National Parkway,8555905.0
NC,GRSM,Great Smoky Mountains National Park,National Park,8312884.0
DC,NACA,National Capital Parks,Park,6721456.0
DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park,5450477.0
NV,LAKE,Lake Mead National Recreation Area,National Recreation Area,5219266.0
MA,CACO,Cape Cod National Seashore,National Seashore,4978838.0
PA,VAFO,Valley Forge National Historical Park,National Historical Park,3330287.0
FL,GUIS,Gulf Islands National Seashore,National Seashore,3316477.0
ME,ACAD,Acadia National Park,National Park,2997972.0
DC,LINC,Lincoln Memorial,National Memorial,2989487.0
CO,ROMO,Rocky Mountain National Park,National Park,2911242.0
WY,GRTE,Grand Teton National Park,National Park,2643644.0
WY,YELL,Yellowstone National Park,National Park,2521831.0
CA,YOSE,Yosemite National Park,National Park,2516893.0
AZ,GRCA,Grand Canyon National Park,National Park,2472270.0
PA,DEWA,Delaware Water Gap National Recreation Area,National Recreation Area,2396100.0
WA,OLYM,Olympic National Park,National Park,2306032.0
MO,JEFF,Jefferson National Expansion Memorial,National Memorial,2282261.0
MD,ASIS,Assateague Island National Seashore,National Seashore,2019316.0
HI,HAVO,Hawai'i Volcanoes National Park,National Park,1931852.0
NY,STLI,Statue Of Liberty National Monument,National Monument,1885441.0
VA,SHEN,Shenandoah National Park,National Park,1819546.0
DC,JEFM,Thomas Jefferson Memorial,National Memorial,1788267.0
MT,GLAC,Glacier National Park,National Park,1786523.0
MA,BOST,Boston National Historical Park,National Historical Park,1754142.0
UT,GLCA,Glen Canyon National Recreation Area,National Recreation Area,1733529.0
OK,CHIC,Chickasaw National Recreation Area,National Recreation Area,1697658.0
NC,CAHA,Cape Hatteras National Seashore,National Seashore,1634592.0
SD,MORU,Mount Rushmore National Memorial,National Memorial,1604991.0
PA,INDE,Independence National Historical Park,National Historical Park,1567871.0
TX,LAMR,Lake Meredith National Recreation Area,National Recreation Area,1559283.0
PR,SAJU,San Juan National Historic Site,National Historic Site,1522942.0
WY,JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway,1515176.0
KY,MACA,Mammoth Cave National Park,National Park,1404317.0
MO,OZAR,Ozark National Scenic Riverways,National Scenic Riverway,1361644.0
DC,WAMO,Washington Monument,National Memorial,1359061.0
CA,CABR,Cabrillo National Monument,National Monument,1332313.0
CA,PORE,Point Reyes National Seashore,National Seashore,1322449.0
UT,ZION,Zion National Park,National Park,1288808.0
CA,MUWO,Muir Woods National Monument,National Monument,1264676.0
PA,GETT,Gettysburg National Military Park,National Military Park,1239647.0
WA,MORA,Mount Rainier National Park,National Park,1233671.0
CA,WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area,1217135.0
AR,HOSP,Hot Springs National Park,National Park,1177911.0
SD,BADL,Badlands National Park,National Park,1175952.0
DC,WHHO,White House,Other Designation,1132992.0
CA,SEQU,Sequoia National Park,National Park,1083002.0
CA,FOPO,Fort Point National Historic Site,National Historic Site,1073265.0
FL,CANA,Canaveral National Seashore,National Seashore,1066706.0
MA,MIMA,Minute Man National Historical Park,National Historical Park,1047239.0
IN,INDU,Indiana Dunes National Lakeshore,National Lakeshore,1023436.0
GA,KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park,1009433.0
VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park,1000456.0
CO,CURE,Curecanti National Recreation Area,National Recreation Area,988951.0
TX,AMIS,Amistad National Recreation Area,National Recreation Area,976414.0
DC,ROCR,Rock Creek Park,Park,917310.0
WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area,873754.0
HI,VALR,World War II Valor in the Pacific National Monument,National Monument,855847.0
WA,NOCA,North Cascades National Park,National Park,829026.0
VA,MANA,Manassas National Battlefield Park,National Battlefield Park,792371.0
CA,KICA,Kings Canyon National Park,National Park,776850.0
NM,CAVE,Carlsbad Caverns National Park,National Park,771766.0
MI,SLBE,Sleeping Bear Dunes National Lakeshore,National Lakeshore,759014.0
GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park,755259.0
AZ,PEFO,Petrified Forest National Park,National Park,747832.0
ND,THRO,Theodore Roosevelt National Park,National Park,702873.0
LA,VICK,Vicksburg National Military Park,National Military Park,689442.0
MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument,672541.0
FL,CASA,Castillo de San Marcos National Monument,National Monument,654012.0
DC,FOTH,Ford's Theatre National Historic Site,National Historic Site,650903.0
HI,HALE,Haleakala National Park,National Park,631684.0
CA,DEVA,Death Valley National Park,National Park,630402.0
TX,PAIS,Padre Island National Seashore,National Seashore,620782.0
CA,JOTR,Joshua Tree National Park,National Park,612966.0
OH,CUVA,Cuyahoga Valley National Park,National Park,596300.0
WV,HAFE,Harpers Ferry National Historical Park,National Historical Park,589288.0
CO,MEVE,Mesa Verde National Park,National Park,588608.0
VA,WOTR,Wolf Trap National Park for the Performing Arts,National Park,587926.0
AR,BUFF,Buffalo National River,National River,580075.0
VI,VIIS,Virgin Islands National Park,National Park,566528.0
FL,EVER,Everglades National Park,National Park,564721.0
NJ,MORR,Morristown National Historical Park,National Historical Park,561698.0
NM,WHSA,White Sands National Monument,National Monument,556494.0
CA,REDW,Redwood National Park,National Park,549461.0
VA,PETE,Petersburg National Battlefield,National Battlefield,536003.0
NY,FIIS,Fire Island National Seashore,National Seashore,513421.0
SD,WICA,Wind Cave National Park,National Park,503424.0
OR,CRLA,Crater Lake National Park,National Park,503404.0
UT,BRCA,Bryce Canyon National Park,National Park,474092.0
AZ,MOCA,Montezuma Castle National Monument,National Monument,472306.0
GA,CHAT,Chattahoochee River National Recreation Area,National Recreation Area,471051.0
AZ,SAGU,Saguaro National Park,National Park,470598.0
MD,ANTI,Antietam National Battlefield,National Battlefield,468078.0
VA,PRWI,Prince William Forest Park,Park,467161.0
NC,WRBR,Wright Brothers National Memorial,National Memorial,429618.0
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site,427699.0
KY,CUGA,Cumberland Gap National Historical Park,National Historical Park,425046.0
MA,SAMA,Salem Maritime National Historic Site,National Historic Site,418262.0
CA,LAVO,Lassen Volcanic National Park,National Park,415045.0
IL,LIHO,Lincoln Home National Historic Site,National Historic Site,402686.0
UT,CEBR,Cedar Breaks National Monument,National Monument,402680.0
UT,CARE,Capitol Reef National Park,National Park,397789.0
LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,375883.0
MD,CATO,Catoctin Mountain Park,Other Designation,357685.0
WI,SACN,Saint Croix National Scenic Riverway,National Scenic Riverway,355962.0
AZ,SUCR,Sunset Crater Volcano National Monument,National Monument,353815.0
CO,DINO,Dinosaur National Monument,National Monument,345784.0
WY,BICA,Bighorn Canyon National Recreation Area,National Recreation Area,341157.0
VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial,336593.0
TN,FODO,Fort Donelson National Battlefield,National Battlefield,336538.0
HI,PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park,335441.0
MD,FOWA,Fort Washington Park,Other Designation,334867.0
AZ,CACH,Canyon de Chelly National Monument,National Monument,333596.0
MI,PIRO,Pictured Rocks National Lakeshore,National Lakeshore,329775.0
UT,ARCH,Arches National Park,National Park,326508.0
CO,COLM,Colorado National Monument,National Monument,325210.0
MS,SHIL,Shiloh National Battlefield,National Battlefield,322238.0
MA,LOWE,Lowell National Historical Park,National Historical Park,321762.0
FL,BISC,Biscayne National Park,National Park,305502.0
TX,LYJO,Lyndon B. Johnson National Historical Park,National Historical Park,300685.0
NC,FORA,Fort Raleigh National Historic Site,National Historic Site,299252.0
WY,DETO,Devils Tower National Monument,National Monument,285310.0
VA,RICH,Richmond National Battlefield Park,National Battlefield Park,284577.0
NY,HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,272129.0
FL,FOMA,Fort Matanzas National Monument,National Monument,270207.0
CO,BLCA,Black Canyon of the Gunnison National Park,National Park,266604.0
MN,VOYA,Voyageurs National Park,National Park,257490.0
IA,HEHO,Herbert Hoover National Historic Site,National Historic Site,256910.0
AK,DENA,Denali National Park,National Park,256593.0
AK,DENA,Denali National Preserve,National Park,256593.0
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument,252992.0
KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park,252245.0
GA,FOFR,Fort Frederica National Monument,National Monument,247469.0
VA,APCO,Appomattox Court House National Historical Park,National Historical Park,244968.0
GA,FOPU,Fort Pulaski National Monument,National Monument,239572.0
ID,CRMO,Craters of the Moon National Monument,National Monument,236525.0
MD,GREE,Greenbelt Park,Other Designation,231632.0
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site,231224.0
IN,LIBO,Lincoln Boyhood National Memorial,National Memorial,225590.0
SC,KIMO,Kings Mountain National Military Park,National Military Park,223851.0
NC,GUCO,Guilford Courthouse National Military Park,National Military Park,220944.0
SC,FOSU,Fort Sumter National Monument,National Monument,206547.0
NM,BAND,Bandelier National Monument,National Monument,197574.0
AZ,WUPA,Wupatki National Monument,National Monument,183448.0
PA,EISE,Eisenhower National Historic Site,National Historic Site,182387.0
NY,SAHI,Sagamore Hill National Historic Site,National Historic Site,179676.0
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument,177750.0
WA,NEPE,Nez Perce National Historical Park,National Historical Park,174997.0
CO,GRSA,Great Sand Dunes National Park,National Park,172505.0
CO,GRSA,Great Sand Dunes National Preserve,National Preserve,172505.0
TX,BIBE,Big Bend National Park,National Park,167332.0
FL,DESO,De Soto National Memorial,National Memorial,165366.0
AZ,HUTR,Hubbell Trading Post National Historic Site,National Historic Site,164551.0
PA,UPDE,Upper Delaware Scenic and Recreational River,Scenic and Recreational River,156437.0
CA,PINN,Pinnacles National Park,National Park,155205.0
PA,FONE,Fort Necessity National Battlefield,National Battlefield,153898.0
NE,SCBL,Scotts Bluff National Monument,National Monument,150183.0
MN,PIPE,Pipestone National Monument,National Monument,149172.0
PA,HOFU,Hopewell Furnace National Historic Site,National Historic Site,143430.0
TX,GUMO,Guadalupe Mountains National Park,National Park,142641.0
AR,FOSM,Fort Smith National Historic Site,National Historic Site,136786.0
OR,ORCA,Oregon Caves National Monument and Preserve,National Monument,135495.0
VA,GEWA,George Washington Birthplace National Monument,National Monument,133291.0
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park,130765.0
WY,FOLA,Fort Laramie National Historic Site,National Historic Site,121212.0
MD,PISC,Piscataway Park,Other Designation,116678.0
UT,RABR,Rainbow Bridge National Monument,National Monument,114555.0
GA,ANDE,Andersonville National Historic Site,National Historic Site,113697.0
NY,CACL,Castle Clinton National Monument,National Monument,113324.0
OR,JODA,John Day Fossil Beds National Monument,National Monument,111410.0
FL,FOCA,Fort Caroline National Memorial,National Memorial,110844.0
NY,SARA,Saratoga National Historical Park,National Historical Park,109018.0
SD,JECA,Jewel Cave National Monument,National Monument,105448.0
AR,PERI,Pea Ridge National Military Park,National Military Park,105117.0
TX,CHAM,Chamizal National Memorial,National Memorial,104717.0
UT,TICA,Timpanogos Cave National Monument,National Monument,104497.0
WI,APIS,Apostle Islands National Lakeshore,National Lakeshore,103960.0
TN,STRI,Stones River National Battlefield,National Battlefield,103622.0
NY,FEHA,Federal Hall National Memorial,National Memorial,103331.0
AZ,CAGR,Casa Grande Ruins National Monument,National Monument,102768.0
WA,SAJH,San Juan Island National Historical Park,National Historical Park,101620.0
WA,WHMI,Whitman Mission National Historic Site,National Historic Site,97085.0
IN,GERO,George Rogers Clark National Historical Park,National Historical Park,94993.0
OH,PEVI,Perry's Victory and International Peace Memorial,National Memorial,94885.0
UT,CANY,Canyonlands National Park,National Park,89915.0
CA,CHIS,Channel Islands National Park,National Park,87514.0
CA,LABE,Lava Beds National Monument,National Monument,87038.0
AK,SITK,Sitka National Historical Park,National Historical Park,86984.0
CA,DEPO,Devils Postpile National Monument,National Monument,86084.0
AK,GLBA,Glacier Bay National Park,National Park,85071.0
AK,GLBA,Glacier Bay National Preserve,National Preserve,85071.0
GA,OCMU,Ocmulgee National Monument,National Monument,84387.0
AZ,WACA,Walnut Canyon National Monument,National Monument,83098.0
MO,WICR,Wilson's Creek National Battlefield,National Battlefield,80047.0
IA,EFMO,Effigy Mounds National Monument,National Monument,79881.0
AL,HOBE,Horseshoe Bend National Military Park,National Military Park,78388.0
AZ,TUZI,Tuzigoot National Monument,National Monument,77886.0
TN,ANJO,Andrew Johnson National Historic Site,National Historic Site,74100.0
NM,CHCU,Chaco Culture National Historical Park,National Historical Park,73399.0
TX,FODA,Fort Davis National Historic Site,National Historic Site,71179.0
AZ,TONT,Tonto National Monument,National Monument,70528.0
PA,ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site,65557.0
NM,AZRU,Aztec Ruins National Monument,National Monument,64902.0
SC,COWP,Cowpens National Battlefield,National Battlefield,64614.0
NY,FOST,Fort Stanwix National Monument,National Monument,60696.0
UT,NABR,Natural Bridges National Monument,National Monument,60131.0
OH,HOCU,Hopewell Culture National Historical Park,National Historical Park,59737.0
AZ,TUMA,Tumacacori National Historical Park,National Historical Park,59422.0
DC,THIS,Theodore Roosevelt Island,National Memorial,59284.0
VI,CHRI,Christiansted National Historic Site,National Historic Site,57098.0
MO,GWCA,George Washington Carver National Monument,National Monument,55150.0
AR,ARPO,Arkansas Post National Memorial,National Memorial,53538.0
NC,CALO,Cape Lookout National Seashore,National Seashore,51957.0
AZ,CHIR,Chiricahua National Monument,National Monument,51864.0
KS,FOSC,Fort Scott National Historic Site,National Historic Site,51633.0
CO,FLFO,Florissant Fossil Beds National Monument,National Monument,50747.0
MD,HAMP,Hampton National Historic Site,National Historic Site,49729.0
UT,GOSP,Golden Spike National Historic Site,National Historic Site,48167.0
AZ,CORO,Coronado National Memorial,National Memorial,46681.0
NM,CAVO,Capulin Volcano National Monument,National Monument,46200.0
CO,BEOL,Bent's Old Fort National Historic Site,National Historic Site,45843.0
VI,BUIS,Buck Island Reef National Monument,National Monument,45502.0
NC,MOCR,Moores Creek National Battlefield,National Battlefield,45059.0
NM,PECO,Pecos National Historical Park,National Historical Park,44539.0
NJ,EDIS,Thomas Edison National Historical Park,National Historic Site,44514.0
NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,44059.0
MT,BIHO,Big Hole National Battlefield,National Battlefield,43176.0
MI,GRPO,Grand Portage National Monument,National Monument,41404.0
NY,GEGR,General Grant National Memorial,National Memorial,41052.0
NH,SAGA,Saint-Gaudens National Historic Site,National Historic Site,39675.0
AZ,NAVA,Navajo National Monument,National Monument,39574.0
MA,SAIR,Saugus Iron Works National Historic Site,National Historic Site,38139.0
GA,CUIS,Cumberland Island National Seashore,National Seashore,37530.0
NM,GICL,Gila Cliff Dwellings National Monument,National Monument,36417.0
PA,JOFL,Johnstown Flood National Memorial,National Memorial,36124.0
DC,FRDO,Frederick Douglass National Historic Site,National Historic Site,35322.0
NV,GRBA,Great Basin National Park,National Park,33367.0
AL,TUIN,Tuskegee Institute National Historic Site,National Historic Site,32066.0
AZ,PISP,Pipe Spring National Monument,National Monument,30008.0
NM,ELMO,El Morro National Monument,National Monument,27536.0
CA,JOMU,John Muir National Historic Site,National Historic Site,27070.0
MA,ADAM,Adams National Historical Park,National Historical Park,27055.0
HI,PUHE,Pu'ukohola Heiau National Historic Site,National Historic Site,24888.0
MT,GRKO,Grant-Kohrs Ranch National Historic Site,National Historic Site,23559.0
TX,BITH,Big Thicket National Preserve,National Preserve,22763.0
KS,FOLS,Fort Larned National Historic Site,National Historic Site,22616.0
AL,RUCA,Russell Cave National Monument,National Monument,21290.0
NM,SAPU,Salinas Pueblo Missions National Monument,National Monument,20359.0
VA,BOWA,Booker T. Washington National Monument,National Monument,19874.0
MA,LONG,Longfellow House-Washington's Headquarters National Historic Site,National Historic Site,19541.0
MA,SPAR,Springfield Armory National Historic Site,National Historic Site,19161.0
MA,JOFI,John Fitzgerald Kennedy National Historic Site,National Historic Site,17757.0
NE,HOME,Homestead National Monument of America,National Monument,16421.0
NY,THRI,Theodore Roosevelt Inaugural National Historic Site,National Historic Site,16209.0
MI,ISRO,Isle Royale National Park,National Park,14558.0
PA,EDAL,Edgar Allan Poe National Historic Site,National Historic Site,14055.0
UT,HOVE,Hovenweep National Monument,National Monument,13628.0
AK,KATM,Katmai National Park,National Park,13115.0
AK,KATM,Katmai National Preserve,National Preserve,13115.0
NY,THRB,Theodore Roosevelt Birthplace National Historic Site,National Historic Site,13019.0
WY,FOBU,Fossil Butte National Monument,National Monument,12431.0
NM,FOUN,Fort Union National Monument,National Monument,11720.0
